Group,Transcription
Pen,5.13
Pen,0.5
Pen,1.37
Pen,1.37
Pen,5.82
Pen,5.24
Pen,3.97
Pen,2.14
Pen,4
Pen,4.36
Pen,8.61
Pen,1.26
Pen,4.95
Pen,6.7
Pen,8.59
Pen,8.18
Pen,8.91
Pen,4.51
Pen,3.01
Pen,3.13
Pen,6.43
Pen,5.32
Pen,1.19
Pen,4.52
Pen,2.61
Pen,3.61
Pen,4.97
Pen,0.34
Pen,5.38
Pen,0
Pen,6.2
Pen,2.44
Pen,1.96
Pen,1.19
Pen,6.42
Pen,2.55
Pen,2.26
Pen,3.66
Pen,2.75
Pen,6.3
Pen,1.63
Pen,3.29
Pen,6.09
Pen,2.55
Pen,9.09
Pen,3.49
Pen,9.98
Pen,1.11
Pen,1.75
Pen,6.23
Pen,8.78
Pen,4.82
Pen,2.15
Pen,2.82
Laptop,4.62
Laptop,14.95
Laptop,5.24
Laptop,15.28
Laptop,13.93
Laptop,8.04
Laptop,21.81
Laptop,11.36
Laptop,18.41
Laptop,11.39
Laptop,22.61
Laptop,19.91
Laptop,11.33
Laptop,16.31
Laptop,6.95
Laptop,9.9
Laptop,11.06
Laptop,10.71
Laptop,15.32
Laptop,16.5
Laptop,24.98
Laptop,4.8
Laptop,10.5
Laptop,5.26
Laptop,9.2
Laptop,13.9
Laptop,13.39
Laptop,7.78
Laptop,13.82
Laptop,3.2
Laptop,5.65
Laptop,11.3
Laptop,9.61
Laptop,6.23
Laptop,5.91
Laptop,17.86
Laptop,2.07
Laptop,20.21
Laptop,23.86
Laptop,13.28
Laptop,5.86
Laptop,11.71
Laptop,12.69
Laptop,10.86
Laptop,7.12
Laptop,8.33
Laptop,2.44
Laptop,9.86
Laptop,22.53
Laptop,13.2
Laptop,11.89
Laptop,7.47
Laptop,14.16
Laptop,7.11
Laptop,5.52
