Group,Transcription
Pen,8.99
Pen,1.35
Pen,8.22
Pen,4.31
Pen,6.59
Pen,16
Pen,5.85
Pen,6.64
Pen,5.54
Pen,4.02
Pen,3.73
Pen,3.81
Pen,13.33
Pen,5.31
Pen,18.03
Pen,5.44
Pen,7.06
Pen,15.38
Pen,4.55
Pen,12.5
Pen,1.33
Pen,4.21
Pen,6.63
Pen,5.56
Pen,2.67
Pen,5.29
Pen,18.18
Pen,10.48
Pen,4.04
Pen,2.94
Pen,2.84
Pen,3.55
Pen,6.25
Pen,10.23
Pen,1
Pen,8
Pen,4.69
Pen,5.17
Pen,5.63
Pen,10.12
Pen,13.21
Pen,8.38
Pen,3.82
Pen,3.7
Pen,7.83
Pen,3.66
Pen,9.06
Pen,5.16
Laptop,24.82
Laptop,11.76
Laptop,12.72
Laptop,14.19
Laptop,10.86
Laptop,20.09
Laptop,7.66
Laptop,15.72
Laptop,15.96
Laptop,11.27
Laptop,12.5
Laptop,5.92
Laptop,8.71
Laptop,9.31
Laptop,20.89
Laptop,15.49
Laptop,17.68
Laptop,12.21
Laptop,8
Laptop,13.43
Laptop,19.63
Laptop,18.08
Laptop,8.16
Laptop,10
Laptop,16.05
Laptop,5.19
Laptop,10.14
Laptop,2.37
Laptop,9.64
Laptop,20
Laptop,14.45
Laptop,12.41
Laptop,3.57
Laptop,4.78
Laptop,17.83
Laptop,7.97
Laptop,13.18
Laptop,13.64
Laptop,10.19
Laptop,15.89
Laptop,6.6
Laptop,7.81
Laptop,10.9
Laptop,21.63
Laptop,6.36
Laptop,16.96
Laptop,8.4
Laptop,7.75
Laptop,8.79
Laptop,9.77
Laptop,10.22
Laptop,8.28
Laptop,21.43
Laptop,6.25
Laptop,10.61
Laptop,3.41
Laptop,15.29
Laptop,10.28
Laptop,18.9
Laptop,17.69
Laptop,9.28
Laptop,27.03
Laptop,7.69
Laptop,8.29
Laptop,15.85
Laptop,22.54
Laptop,10.77
Laptop,0.56
Laptop,9.82
Laptop,14.2
Laptop,11.11
Laptop,16.14
Laptop,4.41
Laptop,5.97
Laptop,18.42
Laptop,16.9
Laptop,7.14
Laptop,16.85
Laptop,1.92
Laptop,9.57
Laptop,23.69
Laptop,22.64
Laptop,9.92
Laptop,8.98
Laptop,11.23
Laptop,9.17
Laptop,14.29
Laptop,12.95
Laptop,13.74
Laptop,9.66
Laptop,11.43
Laptop,11.35
Laptop,6.25
Laptop,9.45
Laptop,13.39
Laptop,4.07
Laptop,11.4
Laptop,11.51
Laptop,12.88
Laptop,5.64
Laptop,7.78
Laptop,26.77
Laptop,12.69
